,coin,time,near_symbol,far_symbol,vwap_near,vwap_far,spread,volume_near,volume_far
197,XBT,2018-01-11 04:00:00,XBTH18,XBTM18,13749.47737490868,14641.761262651398,892.2838877427184,38150216,11662748
198,XBT,2018-01-11 05:00:00,XBTH18,XBTM18,14018.496414513584,14981.026322723108,962.5299082095244,11100482,12845343
199,XBT,2018-01-11 06:00:00,XBTH18,XBTM18,14122.80865253133,15130.582428096228,1007.7737755648977,7152298,7709483
200,XBT,2018-01-11 07:00:00,XBTH18,XBTM18,14226.814556132933,15087.660164501389,860.8456083684559,11688916,2773410
201,XBT,2018-01-11 08:00:00,XBTH18,XBTM18,14529.023053951993,15499.206661217893,970.1836072659007,5393356,1275596
202,XBT,2018-01-11 09:00:00,XBTH18,XBTM18,14368.831297517349,15253.56404449169,884.7327469743414,2027430,668599
203,XBT,2018-01-11 10:00:00,XBTH18,XBTM18,14239.494502697285,15238.476275185983,998.981772488698,1776230,553002
204,XBT,2018-01-11 11:00:00,XBTH18,XBTM18,14169.23003293906,15169.252254126397,1000.022221187337,3076202,800299
205,XBT,2018-01-11 12:00:00,XBTH18,XBTM18,14521.028299202173,15450.88078280546,929.8524836032866,5324946,1033706
206,XBT,2018-01-11 13:00:00,XBTH18,XBTM18,14584.440470362551,15386.401287594235,801.9608172316839,1610250,844704
207,XBT,2018-01-11 14:00:00,XBTH18,XBTM18,14539.215313258115,15287.353402370703,748.1380891125882,2563057,375964
208,XBT,2018-01-11 15:00:00,XBTH18,XBTM18,14917.299865661476,15697.44322438876,780.1433587272841,4427651,544263
209,XBT,2018-01-11 16:00:00,XBTH18,XBTM18,14845.283075749843,15737.22426794005,891.9411921902065,2202530,3610679
210,XBT,2018-01-11 17:00:00,XBTH18,XBTM18,14563.866531570276,15317.026184282451,753.1596527121746,2286879,7529711
211,XBT,2018-01-11 18:00:00,XBTH18,XBTM18,14502.685663758033,15287.097531401108,784.4118676430753,1680974,367901
212,XBT,2018-01-11 19:00:00,XBTH18,XBTM18,14212.074893767462,15038.299411554617,826.2245177871555,6704026,941814
213,XBT,2018-01-11 20:00:00,XBTH18,XBTM18,14042.58624460388,14831.992814566436,789.4065699625571,6048158,414796
214,XBT,2018-01-11 21:00:00,XBTH18,XBTM18,14189.543823943151,14925.041294416962,735.4974704738106,2078423,213683
215,XBT,2018-01-11 22:00:00,XBTH18,XBTM18,13962.011966225062,14524.94416692229,562.9322006972288,6375242,651738
216,XBT,2018-01-11 23:00:00,XBTH18,XBTM18,13927.909290220758,14426.336402544543,498.42711232378497,7107331,1032916
217,XBT,2018-01-12 00:00:00,XBTH18,XBTM18,13841.648787786824,14430.396414422898,588.7476266360736,8386967,279084
218,XBT,2018-01-12 01:00:00,XBTH18,XBTM18,14077.091435831642,14717.614864813691,640.5234289820492,4047992,159653
219,XBT,2018-01-12 02:00:00,XBTH18,XBTM18,14332.887317273846,14920.53205651239,587.6447392385435,3309634,106950
